"Forecaster","Route","Brier","CRPS_kW","Severity_CRPS","Energy_Score_kW","Invalid_probability_mass"
"D3U","Raw","0.06592454483695652","239.31539002663132","0.08719247767047536","645.0205310028259","0.0004989809782608697"
"D3U","IID","0.0609603551079635","239.26411379976145","0.08710004456112","644.8618447966397","0.0"
"D3U","Retrieval","0.0394807157368658","210.51989184626524","0.07414645365566913","570.6192165055063","0.0"
"TMDM","Raw","0.8573297265625","209.96864951109933","0.5089086189442794","614.3519497245634","0.7972557744565216"
"TMDM","IID","0.0389944313209682","186.96175530568271","0.167141680915921","534.0202784261992","0.0"
