"ordering","support_success","Brier","CRPS_kW","Severity_CRPS","Energy_Score_kW","proposal_median","proposal_mean","proposal_p90"
"Nearest","0.9970108695652173","0.0394807157368658","210.51989184626524","0.07414645365566913","570.6192165055063","20.0","29.546050601666153","73.0"
"Random mean","0.9944157608695653","0.039254736223528666","220.10403259549184","0.077531287800093","595.8023304620859","7.0","14.662187596420859","37.17000000000007"
"Random std","0.0004098669328531929","0.0002201679663042826","0.1620034868002452","8.170275630637226e-05","0.36677012162207046","0.0","0.09207640800813784","0.36530048514138347"
